User,Consent,Consent Time,Last Login,Stage,Phase 1 Finished,Phase 2 Unlocks,Phase 2 Started,Personal Experience,What gender are you currently?,Gender Identities,Differ at Birth,Sexuality,Other Sexuality,Country,English First Language,Feedback - Phase One,Feedback - Phase Two,Gender Terms,Gender Terms Why,Sexuality Terms,Sexuality Terms Why,Phase 2 Finished,Live
101,1,04/12/2023 11:12,11/12/2023,3,04/12/2023 11:26,11/12/2023 11:12,11/12/2023 11:12,witnessed,woman,woman,no,Heterosexual,,Spain,no,,Everything was clear and nice,very-useful,"Some of them are slang, so it is nice to have their meaning",very-useful,Same as with gender,11/12/2023 11:24,1
94,1,28/11/2023 16:05,05/12/2023,3,28/11/2023 16:14,05/12/2023 04:12,05/12/2023 15:07,none,woman,woman,no,Heterosexual,,United Kingdom,yes,,,useful,some words I wasn't exactly sure of their definitions,useful,some words I wasn't exactly sure of their definitions,05/12/2023 15:16,1
69,1,20/11/2023 18:45,27/11/2023,3,20/11/2023 19:23,27/11/2023 07:11,27/11/2023 15:22,unsure,man,man,no,Heterosexual,,hungary,no,,,useful,It shed light on gender,useful,What was written was easier to interpret,27/11/2023 15:54,1
103,1,04/12/2023 14:26,11/12/2023,3,04/12/2023 14:44,11/12/2023 02:12,11/12/2023 14:30,witnessed,woman,woman,no,Heterosexual,,Slovenia,no,,,very-useful,"It helped explaining the words, especially slang terms, I was unfamiliar with before.",useful,"useful to some extent, because I knew most of the terms before,",11/12/2023 14:47,1
28,1,11/10/2023 13:37,18/10/2023,3,11/10/2023 13:57,18/10/2023 01:10,18/10/2023 15:38,"personally,witnessed",man,"woman, non-binary",yes,Bisexual,,Slovenia,no,"There was actually more racial, ethnic and religious than sexual hatespeech.","Many of the posts were racist, ethno-phobic and just generally hostile to groups of people other than just by gender and sexuality.",useful,"I mostly know the words' meaning but having a clear deifinition of some made it easier to identify hostile or hateful subtext, or the degree to which it was such.",useful,Same as previously.,18/10/2023 16:06,1
70,1,20/11/2023 18:41,27/11/2023,3,20/11/2023 19:12,27/11/2023 07:11,27/11/2023 15:35,none,man,man,no,Heterosexual,,Hungary,no,,Everything was fine. I did not encounter any technical errors.,very-useful,So it can be used well.,very-useful,Easy to find.,27/11/2023 16:05,1
7,1,06/11/2023 17:57,13/11/2023,3,06/11/2023 18:25,13/11/2023 06:11,13/11/2023 12:39,"personally,witnessed",non-binary,"woman, non-binary, fluid, queer",yes,Homosexual,,portugal,no,,,very-useful,"since its slang, it helps to have the definition to make things more clear",very-useful,"since its slang, it helps to have the definition to make things more clear",13/11/2023 13:11,1
36,1,06/12/2023 15:43,13/12/2023,3,06/12/2023 15:56,13/12/2023 03:12,13/12/2023 13:35,"personally,witnessed",woman,woman,no,Bisexual,,Italy,no,,,useful,"It kinda helped, I think. But for the most part I already knew the definitions",useful,The definitions were helpful in finding terms that I didn't know,13/12/2023 13:46,1
19,1,06/11/2023 17:50,13/11/2023,3,06/11/2023 18:28,13/11/2023 06:11,13/11/2023 15:08,witnessed,woman,woman,no,Heterosexual,,Poland,no,,-,useful,It helps specify the meaning of words that may be unclear.,useful,It helps specify the meaning of words that may be unclear.,13/11/2023 15:26,1
118,1,04/12/2023 11:31,11/12/2023,3,04/12/2023 11:56,11/12/2023 11:12,11/12/2023 11:32,"personally,witnessed",woman,woman,no,Heterosexual,,England,yes,,,very-useful,I did not recognise some of the terms.,very-useful,I did not recognise some of the terms.,11/12/2023 11:49,1
9,1,06/11/2023 18:09,13/11/2023,3,06/11/2023 18:41,13/11/2023 06:11,13/11/2023 17:03,unsure,non-binary,queer,yes,Other sexual orientation,Polyromantic/polysexual,Switzerland,yes,N/A,"In Phase 1 if a person were mentioned, e.g., Roseanne Barr, but nothing specifically targeted about their gender, I did not select any gender under the question ""Does the message mention or is about gender?"". In Phase II if pronouns were used at all I included them as ""mention gender"" and selected as appropriate.",very-useful,The use of pronouns would be mentioning gender. The definitions of previously unknown to me pejorative slang terms and slurs were very useful in guiding me.,very-useful,The definitions of previously unknown to me pejorative slang terms and slurs were very useful in guiding me.,13/11/2023 17:58,1
67,1,20/11/2023 18:19,27/11/2023,3,20/11/2023 18:55,27/11/2023 06:11,27/11/2023 15:10,"personally,witnessed",man,man,no,Heterosexual,,Poland,no,At 12  page i had to check man and transgender to complete section while i thought trangender is just another option on the list,none,not-useful,there was nothing i didn't know,useful,didnt know that closet is correlated to sexuality,27/11/2023 16:02,1
34,1,06/12/2023 15:03,13/12/2023,3,06/12/2023 15:15,13/12/2023 03:12,13/12/2023 14:36,none,man,man,no,Other sexual orientation,Pansexual,Canada,yes,,,not-useful,I know what the words mean,not-useful,I know what the words mean,13/12/2023 14:47,1
66,1,20/11/2023 18:13,27/11/2023,3,20/11/2023 18:49,27/11/2023 06:11,27/11/2023 16:22,witnessed,man,man,no,Heterosexual,,Italy,no,"Some of them were very hard to annotate, but I tried my best and I hope I did well.",I guess this time was easier for me: the terms listed let me understand better what I had to do.,useful,"They were useful because, in the previous phase, they didn't matter to me unless they were of the pejorative kind.",useful,"As I said earlier, they were useful in clarifying better what I had to annotate.",27/11/2023 16:43,1
42,1,12/12/2023 15:08,19/12/2023,3,12/12/2023 15:18,19/12/2023 03:12,19/12/2023 15:12,"personally,witnessed",woman,woman,no,Other sexual orientation,pansexual,england,yes,,,useful,"useful if you were unclear beforehand, confirmation",useful,"useful if you were unclear beforehand, confirmation",19/12/2023 15:21,1
80,1,29/11/2023 10:34,06/12/2023,3,29/11/2023 10:50,06/12/2023 10:12,06/12/2023 13:49,"personally,witnessed",man,man,no,Heterosexual,,Italy,no,,,useful,some definitions were about words i didn't know the meaning of,useful,same as before,06/12/2023 15:28,1
32,1,06/12/2023 14:11,13/12/2023,3,06/12/2023 14:37,13/12/2023 02:12,13/12/2023 13:35,unsure,woman,woman,no,Homosexual,,Italy,no,,,useful,it helped me find words more easily,useful,it helped me when I didn't know exactly the meaning of some words,13/12/2023 13:56,1
102,1,04/12/2023 12:48,11/12/2023,3,04/12/2023 14:02,11/12/2023 02:12,11/12/2023 12:46,none,woman,woman,no,Heterosexual,,Italy,no,interesting and difficult,I found the study interesting and it made me reflect and notice that sometimes some sentences have offensive content even without realizing it,very-useful,Very useful because I didn't know some terms and as I said before sometimes we use terms related to sexuality that are offensive without realizing it,very-useful,Very useful because I didn't know some terms and as I said before sometimes we use terms related to sexuality that are offensive without realizing it,11/12/2023 13:49,1
8,1,06/11/2023 17:59,13/11/2023,3,06/11/2023 18:58,13/11/2023 06:11,13/11/2023 17:04,"personally,witnessed",non-binary,non-binary,yes,Bisexual,,Russia,no,"Some comments certainly contain hate speech, but their meaning is unclear, so it's difficult to say whether such a comment was targeted to offense or insult. Sometimes the meaning is unclear without context.",,useful,They helped to understand the meaning of some words.,useful,They helped to understand the meaning of some words.,13/11/2023 17:47,1
27,1,11/10/2023 13:39,18/10/2023,3,11/10/2023 14:00,18/10/2023 02:10,18/10/2023 13:07,"personally,witnessed",man,man,no,Bisexual,,Poland,no,I very much liked the user interface of this study. Made things easy.,"Some posts weren't really hate speech material, but just people being mean on the Internet.",useful,"They helped, but shouldn't be solely relied on.",useful,They were useful at pointing the reader in the right direction.,18/10/2023 13:29,1
37,1,06/12/2023 16:00,13/12/2023,3,06/12/2023 16:17,13/12/2023 04:12,13/12/2023 13:35,unsure,man,man,no,Homosexual,,Hungary,yes,,I enjoyed the second part more than the first,very-useful,its easier to see what I was looking for,very-useful,Some slang words I never heard of,13/12/2023 13:56,1
26,1,06/11/2023 17:56,14/11/2023,3,06/11/2023 18:46,13/11/2023 06:11,14/11/2023 03:26,"personally,witnessed",man,man,yes,Other sexual orientation,i dont know,iraq,no,,"are you testing to see if our answers change, and if they do it's because of the information on the side? anyways pretty cool study i liked it, so have a nice day",useful,i found them cool,useful,i found them cool,14/11/2023 03:55,1
4,1,06/11/2023 18:26,14/11/2023,3,06/11/2023 19:58,13/11/2023 07:11,13/11/2023 11:34,"personally,witnessed",non-binary,queer,yes,Homosexual,,South Africa,no,,"The study went well, I had no issues but I did struggle a bit with some of the terms in part one since I am not as exposed to them. In part two however, the definitions did help.",useful,Made other unfamiliar word clearer,useful,Made other unfamiliar word clearer,13/11/2023 13:41,1
46,1,13/12/2023 09:51,20/12/2023,3,13/12/2023 10:12,20/12/2023 10:12,20/12/2023 10:13,"personally,witnessed",man,man,no,Bisexual,,USA,yes,None,None,useful,It didn't always find every gender word but it was pretty accurate and made it faster.,very-useful,It helped define words from other cultures that I did not know the meaning of.,20/12/2023 10:27,1
72,1,20/11/2023 18:59,27/11/2023,3,20/11/2023 19:30,27/11/2023 07:11,27/11/2023 15:04,"personally,witnessed",man,man,no,Heterosexual,,Greece,no,Though most comments contained hate speech it was toward a specific gender or sexuality most of them talked about a specific individual,It was easier that last time though i hoped i would have to judge new messages,not-useful,Most of them were not. If not for me who knew the meaning for those words it might be really useful for someone else,not-useful,As i told before i knew all of these words and their meaning since they are used very frequently on the internet especialy on social medias,27/11/2023 15:31,1
62,1,20/11/2023 18:17,27/11/2023,3,20/11/2023 18:34,27/11/2023 06:11,27/11/2023 18:13,witnessed,man,man,no,Heterosexual,,Poland,no,-,-,useful,I think that if I didn't know some key words eg. in a comment sometimes the definitions helped me but sometimes like eg. with 'pussy' they were too general not refering particurarly to this case.,not-useful,I didn't see much comments targeting sexuality and if there were I usually found that out myself. I think that the terms were too general and I think it was not enough to determine if it was about sexuality.,27/11/2023 18:33,1
21,1,06/11/2023 17:56,13/11/2023,3,06/11/2023 18:07,13/11/2023 06:11,13/11/2023 17:02,"personally,witnessed",man,man,yes,Bisexual,,Poland,no,,,useful,it marked the word for important topic so i see it immediately,useful,it marked the word for important topic so i see it immediately,13/11/2023 17:16,1
23,1,06/11/2023 17:57,15/11/2023,3,06/11/2023 18:24,13/11/2023 06:11,15/11/2023 20:00,unsure,woman,woman,no,Bisexual,,poland,no,,,not-useful,most of them I've already known,not-useful,most of them I've already known,15/11/2023 20:19,1
22,1,06/11/2023 17:52,13/11/2023,3,06/11/2023 18:05,13/11/2023 06:11,13/11/2023 18:09,"personally,witnessed",woman,woman,yes,Homosexual,,Chile,no,,,useful,I would have missed the pronouns if not for the terms,not-useful,I already knew the definitions and the words were easy to find regardless of the terms.,13/11/2023 18:24,1
58,1,20/11/2023 16:55,27/11/2023,3,20/11/2023 17:09,27/11/2023 05:11,27/11/2023 15:43,witnessed,man,man,no,Heterosexual,,Portugal,no,,,useful,I knew most terms but some I had never heard of,useful,Some slang I really was not aware of,27/11/2023 16:01,1
81,1,30/11/2023 13:39,07/12/2023,3,30/11/2023 13:52,07/12/2023 01:12,07/12/2023 14:35,"personally,witnessed",man,man,no,Heterosexual,,Turkey,no,,I've been thinking about this survey for a week now to fully understand what I consider as hate speech. So thanks for the opportunity.,not-useful,"I believe they might mean slightly different things in context. So, it was probably not that useful considering many already knew of these definitions.",not-useful,Same as above.,07/12/2023 14:49,1
106,1,04/12/2023 14:55,11/12/2023,3,04/12/2023 15:33,11/12/2023 03:12,11/12/2023 05:51,witnessed,woman,woman,no,Heterosexual,,South Africa,yes,,It was an interesting study to take as it gives an insight of how horrible can be to other people on the internet.,very-useful,It gave a clear understanding on who they were referring to.,not-useful,It wasn't since I had a difficult time deciding on the sexuality especially when not much information was given.,11/12/2023 06:31,1
40,1,06/12/2023 16:48,14/12/2023,3,06/12/2023 17:16,13/12/2023 05:12,14/12/2023 15:31,"personally,witnessed",woman,woman,no,Homosexual,,Greece,no,It was an interesting study.,It was an interesting study.,useful,"They helped me understand some words, I didn't know.",not-useful,I already knew the terms that were used!,14/12/2023 15:56,1
68,1,20/11/2023 18:42,27/11/2023,3,20/11/2023 18:51,27/11/2023 06:11,27/11/2023 16:26,personally,man,man,no,Heterosexual,,Poland,no,,Nice study,not-useful,I did not find them useful,very-unuseful,I did not find them useful,27/11/2023 17:55,1
43,1,12/12/2023 15:37,19/12/2023,3,12/12/2023 15:59,19/12/2023 03:12,19/12/2023 15:51,witnessed,woman,woman,no,Bisexual,,Poland,no,,,useful,It helped me understand what a cunt is etc.,useful,I do not know every slang word and it helped.,19/12/2023 16:08,1
47,1,13/12/2023 10:04,20/12/2023,3,13/12/2023 10:24,20/12/2023 10:12,20/12/2023 19:19,"personally,witnessed",woman,woman,no,Heterosexual,,Ireland,yes,,,very-useful,It makes answering the questions much easier,very-useful,They were very clear and plainly stated,20/12/2023 19:57,1
17,1,06/11/2023 17:47,13/11/2023,3,06/11/2023 17:58,13/11/2023 05:11,13/11/2023 17:47,"personally,witnessed",non-binary,non-binary,yes,Bisexual,,Portugal,no,,,useful,They provided further context and understanding of the sentence.,useful,They provided further context and understanding of the sentence.,13/11/2023 18:08,1
79,1,20/11/2023 20:37,27/11/2023,3,20/11/2023 21:00,27/11/2023 09:11,27/11/2023 15:03,"personally,witnessed",man,man,no,Heterosexual,,germany,no,,,very-useful,its easier to understand what the people are talking about,very-useful,for better understanding what terms means what,27/11/2023 15:20,1
65,1,20/11/2023 18:03,27/11/2023,3,20/11/2023 18:15,27/11/2023 06:11,27/11/2023 15:11,witnessed,man,man,no,Heterosexual,,USA,yes,,,not-useful,actually relevant words/terms were mostly not defined,not-useful,actually relevant words/terms were mostly not defined,27/11/2023 15:45,1
16,1,11/10/2023 13:31,19/10/2023,3,11/10/2023 13:55,18/10/2023 01:10,18/10/2023 13:09,"personally,witnessed",non-binary,"non-binary, fluid",yes,Homosexual,,South Africa,yes,,,very-useful,The definitions were clear and did not add/cause confusion,very-useful,They were accurate definitions,18/10/2023 13:29,1
5,1,06/11/2023 18:00,13/11/2023,3,06/11/2023 18:39,13/11/2023 06:11,13/11/2023 19:48,"personally,witnessed",man,"man, non-binary",no,Heterosexual,,greece,no,,,useful,"it's nice to be able to see what each things is, although i didn't have to use the tab very much",useful,"it's nice to be able to see what each things is, although i didn't have to use the tab very much",13/11/2023 20:03,1
6,1,06/11/2023 17:54,13/11/2023,3,06/11/2023 18:18,13/11/2023 06:11,13/11/2023 17:04,"personally,witnessed,none",woman,woman,yes,Bisexual,,Italy,yes,,,very-unuseful,it is interesting to reflect about it,very-unuseful,yes,13/11/2023 17:41,1
18,1,06/11/2023 17:48,13/11/2023,3,06/11/2023 18:11,13/11/2023 06:11,13/11/2023 20:37,"personally,witnessed",non-binary,queer,yes,Bisexual,,Netherlands,yes,,"Despite being mentally taxing it was a great experiment to be a part of and was very accessible, which made the process easier.",very-useful,"Yes, they were useful because they provided context on the terms. Some terms I didn't know.",very-useful,"Yes, I didn't know some of these terms so having the definition was very useful.",13/11/2023 20:54,1
107,1,04/12/2023 15:02,11/12/2023,3,04/12/2023 15:19,11/12/2023 03:12,11/12/2023 15:29,none,woman,woman,yes,Heterosexual,,spain,no,,,useful,That helped me to say many times what I had to do.,useful,It was interesting to know how to interpret the text,11/12/2023 15:40,1
96,1,04/12/2023 09:17,11/12/2023,3,04/12/2023 09:35,11/12/2023 09:12,11/12/2023 09:46,witnessed,woman,woman,no,Bisexual,,Portugal,no,,,very-useful,because english is not my native language and there are terms/slangs that im not familiar with,very-useful,because english is not my native language and there are terms/slangs that im not familiar with,11/12/2023 10:16,1
91,1,28/11/2023 15:11,05/12/2023,3,28/11/2023 15:48,05/12/2023 03:12,05/12/2023 16:01,witnessed,woman,woman,no,Heterosexual,,Portugal,no,,,very-useful,It helped to consider the weight of some words and in a way better understand the message that the author intended to convey.,very-useful,"Certain terms end up being little recognized by everyone, so having an explanation of certain terms helps to understand the sexual implications they contain.",05/12/2023 16:22,1
60,1,20/11/2023 17:33,27/11/2023,3,20/11/2023 17:58,27/11/2023 05:11,27/11/2023 19:57,"personally,witnessed",man,man,no,Heterosexual,,Greece,no,I did not come across many sexually related bias and insults or hate speech. But I do come across such insults during my daily life as well as during my social media usage.,Interesting how people use different language in order to insult others.,not-useful,"Because, for example, we can call bitch even someone who is a man as an insult.",useful,Some of them yes because they were abbreviations. Others were just confirming my first impression of implying the sexuality.,27/11/2023 20:21,1
59,1,20/11/2023 16:57,28/11/2023,3,20/11/2023 17:19,27/11/2023 05:11,28/11/2023 07:21,"personally,witnessed",man,man,no,Heterosexual,,México,no,,"Nothing to say, maybe for some people will find this to hurt his feelings, but sometimes we find our selves in an environment with a lot of more aggressive or hurtful words",very-useful,it helped with words that i normally not use,useful,but quick references,28/11/2023 07:41,1
38,1,06/12/2023 16:14,13/12/2023,3,06/12/2023 17:00,13/12/2023 05:12,13/12/2023 14:01,"personally,witnessed",woman,woman,no,Bisexual,,South Africa,no,,I have no opinion.,very-useful,It made it clear what certain words meant. There is some slang that I don't know,very-useful,The definition made it clear what the slang meant and who it meant.,13/12/2023 14:38,1
25,1,06/11/2023 17:55,13/11/2023,3,06/11/2023 18:48,13/11/2023 06:11,13/11/2023 17:02,"personally,witnessed",non-binary,"bigender, non-binary, fluid, queer",yes,Bisexual,,South Africa,no,,,very-useful,It aided in answering the questions,useful,"some terms could have been more descriptive, but they still helped a lot",13/11/2023 17:25,1
112,1,04/12/2023 16:13,12/12/2023,3,04/12/2023 16:34,11/12/2023 04:12,11/12/2023 16:15,witnessed,woman,woman,no,Heterosexual,,south africa,yes,,,useful,it helped with understanding the words,useful,i helped gain knowledge on different terms,11/12/2023 18:54,1
33,1,06/12/2023 14:51,13/12/2023,3,06/12/2023 15:15,13/12/2023 03:12,13/12/2023 10:09,"personally,witnessed",woman,woman,no,Bisexual,,south Africa,yes,I liked taking this study it taught me more about hate speech,,very-useful,Some words I didn't know what they meant but I was given a clear explanation,not-useful,I knew what those sexuality words meant,13/12/2023 10:34,1
93,1,28/11/2023 15:22,05/12/2023,3,28/11/2023 15:46,05/12/2023 03:12,05/12/2023 14:18,witnessed,woman,woman,no,Heterosexual,,South Africa,no,,,very-useful,It helped with the thought process about who the statements were about,very-useful,It helped with the thought process about what the statements were about,05/12/2023 14:40,1
51,1,13/12/2023 11:04,20/12/2023,3,13/12/2023 11:37,20/12/2023 11:12,20/12/2023 11:56,"personally,witnessed",woman,woman,no,Bisexual,,England,yes,"I was uncertain about content that had sexual content but the precise sexuality was unclear. Similarly, I was unclear about a reference to 'feminism' as that could be a gendered reference but it is not clear out of context.",I found some texts hard to label as hate speech as it was ambiguous due to missing context,very-useful,I didn't know words like 'hun' referred to transgender people so that was very useful,useful,It was useful to know exactly when something was being said about sexuality even if the precise reference was unclear,20/12/2023 12:18,1
75,1,20/11/2023 19:08,27/11/2023,3,20/11/2023 19:29,27/11/2023 07:11,27/11/2023 15:04,unsure,man,man,no,Heterosexual,,Bangladesh,yes,,,very-useful,Very helpful,very-useful,Very helpful,27/11/2023 15:54,1
52,1,13/12/2023 11:18,20/12/2023,3,13/12/2023 11:40,20/12/2023 11:12,20/12/2023 12:11,witnessed,non-binary,non-binary,yes,Bisexual,,Germany,no,,,useful,English is not my first language and I had to look up a lot of terms in part one,useful,English is not my first language and I had to look up a lot of terms in part one,20/12/2023 12:31,1
114,1,06/12/2023 09:36,13/12/2023,3,06/12/2023 09:54,13/12/2023 09:12,13/12/2023 10:53,"personally,witnessed",woman,woman,no,Heterosexual,,UK,yes,,,useful,if i didnt know what they meant it would be useful,useful,if i didnt know what they meant it would be useful,13/12/2023 11:05,1
111,1,04/12/2023 16:14,11/12/2023,3,04/12/2023 16:44,11/12/2023 04:12,11/12/2023 17:02,"personally,witnessed",woman,woman,no,Heterosexual,,south africa,yes,the study was very educational,,very-useful,it was easy to understand the text,very-useful,it made the text to be easily understood,11/12/2023 17:32,1
1,1,06/11/2023 17:53,13/11/2023,3,06/11/2023 18:30,13/11/2023 06:11,13/11/2023 14:35,"personally,witnessed",non-binary,"non-binary, fluid, queer",yes,Homosexual,,south africa,yes,,,very-useful,THEY HELP A LOT,very-useful,THEY HELPED A LOT,13/11/2023 14:52,1
2,1,06/11/2023 17:57,13/11/2023,3,06/11/2023 18:51,13/11/2023 06:11,13/11/2023 17:04,"personally,witnessed",woman,woman,no,Heterosexual,,Zimbabwe,no,no comment,n/a,useful,I had some words I didn't realise that I didn't fully understand before.,useful,I had some words I didn't realise that I didn't fully understand before.,13/11/2023 17:39,1
105,1,04/12/2023 14:47,11/12/2023,3,04/12/2023 15:18,11/12/2023 03:12,11/12/2023 17:49,"personally,witnessed",woman,woman,no,Heterosexual,,England,yes,Pretty awful to read.,Some of the messages were unclear due to being badly written,very-useful,Some were words such as 'Kike' that I'm not familiar with.,very-useful,Some were words that I'm not familiar with.,11/12/2023 18:27,1
44,1,12/12/2023 16:10,19/12/2023,3,12/12/2023 16:32,19/12/2023 04:12,19/12/2023 16:21,"personally,witnessed",woman,"woman, agender, questioning",yes,Asexual,,United Kingdom,yes,,,useful,"some of the words were not defined correctly in context to the specific messages, but it's always nice to have some keywords highlighted to verify, even if I knew what they meant.",useful,Same as the previous. It's better to have them than to not have them.,19/12/2023 16:45,1
49,1,13/12/2023 10:25,20/12/2023,3,13/12/2023 10:41,20/12/2023 10:12,20/12/2023 10:26,none,woman,woman,no,Homosexual,,United Kingdom,yes,"Sometimes I wasn't sure if something would be classified as ""hate speech"" even though it was clearly nasty.  Does the presence of the word ""bitch"" in an unpleasant remark itself constitute hate speech?  If in doubt, I classified it as such.","Like last week, I struggled to decide if a comment should be defined as hate speech or not.  Just because something is offensive or deeply unpleasant, does that in itself constitute hate speech? I wasn't sure sometimes.",useful,"There was one definition that I looked at as I hadn't heard of the word before, so yes this could be useful.",useful,I didn't tend to look at these but there were not too many references to sexuality in my sample comments.,20/12/2023 10:43,1
98,1,04/12/2023 10:02,11/12/2023,3,04/12/2023 10:33,11/12/2023 10:12,11/12/2023 20:51,"personally,witnessed",woman,woman,no,Heterosexual,,uk,yes,NEVER DONE A STUDY BEFORE WITH SUCH STRONG HATE WORDS,HARSH STUDY REAL HATE WORDS,very-useful,YES EASY,very-useful,LEARN SOMETHING NEW EVERYDAY,11/12/2023 21:39,1
50,1,13/12/2023 10:37,20/12/2023,3,13/12/2023 10:55,20/12/2023 10:12,20/12/2023 15:26,"personally,witnessed",man,man,no,Homosexual,,England,yes,,,very-useful,helped define some words i did not know,very-useful,helped define words i was not sure of,20/12/2023 15:55,1
3,1,06/11/2023 17:54,13/11/2023,3,06/11/2023 18:19,13/11/2023 06:11,13/11/2023 18:04,personally,non-binary,"non-binary, agender, genderless, questioning",yes,Asexual,,The Netherlands,no,,,not-useful,I knew the words but it made me think longer about my own definitions even though they were the same definitions,not-useful,I knew the words but it made me think longer about my own definitions even though they were the same definitions,13/11/2023 18:26,1
20,1,06/11/2023 17:50,13/11/2023,3,06/11/2023 18:21,13/11/2023 06:11,13/11/2023 17:06,"personally,witnessed",woman,woman,no,Bisexual,,South Africa,yes,There is a lot of speech related to someone who has done hate speech without technically saying it.,,useful,It provided great detection of words I might miss.,useful,It provided great detection of words I might miss.,13/11/2023 17:29,1
